Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Ed Ott*\otted01,27,117,439,403,49,110,20,2,7,51,0,1,26,62,.273,.314,.385,.699,86,155,8,0,6,4,8
2,1B,Willie Stargell*\stargwi01,39,126,480,424,60,119,19,0,32,82,0,1,47,105,.281,.352,.552,.904,139,234,10,3,0,6,12
3,2B,Rennie Stennett\stennre01,28,108,348,319,31,76,13,2,0,24,1,4,24,25,.238,.289,.292,.581,56,93,11,0,2,3,6
4,SS,Tim Foli\foliti01,28,133,587,525,70,153,23,1,1,65,6,5,28,14,.291,.335,.345,.679,83,181,7,9,19,6,0
5,3B,Bill Madlock\madlobi01,28,85,353,311,48,102,17,3,7,44,21,8,34,22,.328,.390,.469,.860,130,146,14,1,2,5,8
6,LF,Bill Robinson\robinbi02,36,148,455,421,59,111,17,6,24,75,13,2,24,81,.264,.302,.504,.805,112,212,13,1,4,5,11
7,CF,Omar Moreno*\morenom01,26,162,757,695,110,196,21,12,8,69,77,21,51,104,.282,.333,.381,.714,91,265,7,3,6,2,9
8,RF,Dave Parker*\parkeda01,28,158,707,622,109,193,45,7,25,94,20,4,67,101,.310,.380,.526,.906,140,327,7,9,0,9,14
9,IF,Phil Garner\garneph01,30,150,612,549,76,161,32,8,11,59,17,8,55,74,.293,.359,.441,.800,113,242,6,3,2,3,15
10,UT,John Milner*\milnejo01,29,128,386,326,52,90,9,4,16,60,3,5,53,37,.276,.373,.475,.849,126,155,5,1,0,6,6
11,C,Steve Nicosia\nicosst01,23,70,215,191,22,55,16,0,4,13,0,2,23,17,.288,.364,.435,.799,113,83,5,0,1,0,7
12,LF,Lee Lacy\lacyle01,31,84,208,182,17,45,9,3,5,15,6,1,22,36,.247,.327,.412,.739,97,75,1,1,0,3,2
13,IF,Dale Berra\berrada01,22,44,140,123,11,26,5,0,3,15,0,0,11,17,.211,.272,.325,.597,60,40,5,0,2,2,2
14,UT,Manny Sanguillen\sanguma01,35,56,80,74,8,17,5,2,0,4,0,0,2,5,.230,.247,.351,.598,59,26,3,0,3,1,2
15,OF,Mike Easler*\easlemi01,28,55,62,54,8,15,1,1,2,11,0,1,8,13,.278,.371,.444,.815,118,24,0,0,0,0,0
16,SS,Frank Taveras\taverfr01,29,11,45,45,4,11,3,0,0,1,2,1,0,2,.244,.244,.311,.556,48,14,2,0,0,0,0
17,UT,Matt Alexander#\alexama01,32,44,13,13,16,7,0,1,0,1,13,1,0,0,.538,.538,.692,1.231,228,9,0,0,0,0,0
18,,Doe Boyland*\boylado01,24,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
19,,Alberto Lois\loisal01,23,11,0,0,6,0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0
20,,Gary Hargis\hargiga01,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
21,P,Bert Blyleven\blylebe01,28,38,85,70,1,9,1,0,0,3,0,0,0,33,.129,.129,.143,.271,-27,10,2,0,15,0,0
22,P,John Candelaria*\candejo01,25,33,77,68,0,9,4,0,0,6,0,0,1,18,.132,.145,.191,.336,-11,13,4,0,8,0,0
23,P,Bruce Kison\kisonbr01,29,37,63,55,6,8,2,0,1,6,0,0,1,19,.145,.161,.236,.397,5,13,2,0,7,0,0
24,P,Don Robinson\robindo01,22,29,56,49,4,10,0,0,0,3,0,0,3,9,.204,.250,.204,.454,23,10,0,0,4,0,0
25,P,Jim Bibby\bibbyji01,34,34,52,45,3,8,1,0,2,5,0,0,0,25,.178,.196,.333,.529,39,15,0,1,6,0,0
26,P,Jim Rooker\rookeji01,36,19,36,33,1,4,0,0,0,0,0,0,1,13,.121,.147,.121,.268,-27,4,1,0,2,0,0
27,P,Ed Whitson\whitsed01,24,19,18,13,1,0,0,0,0,0,0,0,1,5,.000,.071,.000,.071,-79,0,0,0,4,0,0
28,P,Kent Tekulve\tekulke01,32,94,17,15,3,2,0,0,0,1,0,0,1,8,.133,.188,.133,.321,-12,2,0,0,1,0,0
29,P,Enrique Romo\romoen01,31,84,16,12,0,2,0,0,0,1,0,0,0,2,.167,.167,.167,.333,-10,2,0,0,4,0,0
30,P,Grant Jackson#\jacksgr01,36,72,9,9,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Dave Roberts*\roberda05,34,21,6,5,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,1,0
32,P,Joe Coleman\colemjo05,32,10,5,5,0,1,1,0,0,0,0,0,0,3,.200,.200,.400,.600,57,2,0,0,0,0,0
33,P,Rick Rhoden\rhoderi01,26,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,438,1,0,0,0,0,0
34,P,Dock Ellis#\ellisdo01,34,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
